ID;single_paired;dung_number;time_group;male_number;tibia_lenght
S1A1;S;1;A;1;1,098
S1A2;S;1;A;2;1,53
S1B1;S;1;B;1;1,068
S1B2;S;1;B;2;1,016
S1B3;S;1;B;3;1,055
S1C1;S;1;C;1;1,04
P1A1;P;1;A;1;1,166
P1A2;P;1;A;2;1,274
P1A3;P;1;A;3;1,21
P1A4;P;1;A;4;1,047
P1B1;P;1;B;1;1,116
P1B2;P;1;B;2;1,211
P1B3;P;1;B;3;1,051
P1B4;P;1;B;4;1,008
S2A1;S;2;A;1;0,962
S2A2;S;2;A;2;0,902
S2B1;S;2;B;1;0,977
S2B2;S;2;B;2;0,743
S2C1;S;2;C;1;0,981
S2C2;S;2;C;2;1,083
P3A1;P;3;A;1;1,502
P3A2;P;3;A;2;1,72
P3A3;P;3;A;3;1,667
P3A4;P;3;A;4;1,45
P3A5;P;3;A;5;1,805
P3A6;P;3;A;6;1,464
P3A7;P;3;A;7;1,462
P3A8;P;3;A;8;1,511
P3A9;P;3;A;9;1,834
P3A10;P;3;A;10;1,291
P3A11;P;3;A;11;1,507
P4A1;P;4;A;1;1,438
P4A2;P;4;A;2;1,972
P4A3;P;4;A;3;1,578
P4A4;P;4;A;4;1,513
P4A5;P;4;A;5;2,357
P4A6;P;4;A;6;1,656
P4A7;P;4;A;7;1,82
P4A8;P;4;A;8;1,453
P4A9;P;4;A;9;1,576
P4A10;P;4;A;10;1,493
P4A11;P;4;A;11;1,545
P4A12;P;4;A;12;1,659
P5A1;P;5;A;1;1,641
P5A2;P;5;A;2;1,818
P5A3;P;5;A;3;1,825
P5A4;P;5;A;4;1,438
P5A5;P;5;A;5;1,62
P5A6;P;5;A;6;1,611
P5A7;P;5;A;7;1,416
P5A8;P;5;A;8;1,649
P5A9;P;5;A;9;1,666
P5A10;P;5;A;10;1,711
P5A11;P;5;A;11;1,842
P5A12;P;5;A;12;1,666
P5A13;P;5;A;13;1,967
P5A14;P;5;A;14;1,736
P5A15;P;5;A;15;1,568
P5A16;P;5;A;16;1,899
P6A1;P;6;A;1;1,433
P6A2;P;6;A;2;1,714
P6A3;P;6;A;3;1,815
P6A4;P;6;A;4;1,864
P6A5;P;6;A;5;1,875
P6A6;P;6;A;6;1,516
P6A7;P;6;A;7;1,879
P6A8;P;6;A;8;1,571
P6A9;P;6;A;9;1,593
P6A10;P;6;A;10;1,655
P6A11;P;6;A;11;1,499
S3A1;S;3;A;1;1,464
S3A2;S;3;A;2;1,189
S3A3;S;3;A;3;1,67
S3A4;S;3;A;4;1,723
S3A5;S;3;A;5;1,254
S3A6;S;3;A;6;1,145
S4A1;S;4;A;1;1,599
S4A2;S;4;A;2;1,355
S4A3;S;4;A;3;0,979
